Record Date,Statement Fiscal Year,Restatement Flag,Agency Name,Gross Cost (in Billions),Earned Revenue (in Billions),Subtotal (in Billions),Change in Assumptions (in Billions),Net Cost (in Billions),Fiscal Year,Calendar Year
2022-09-30,2021,Y,Department of Health and Human Services,1644.9,137.7,1507.2,0.7,1507.9,2022,2022
2022-09-30,2021,Y,Department of Defense,851.8,44,807.8,82.8,890.6,2022,2022
2022-09-30,2021,Y,Social Security Administration,1194.1,0.3,1193.8,0,1193.8,2022,2022
2022-09-30,2021,Y,Department of Education,243,34.4,208.6,0,208.6,2022,2022
2022-09-30,2021,Y,Department of the Treasury,966.5,135.7,830.8,0,830.8,2022,2022
2022-09-30,2021,Y,Interest on Treasury Securities held by the public,392,0,392,0,392,2022,2022
2022-09-30,2021,Y,Office of Personnel Management,134,26.3,107.7,84.9,192.6,2022,2022
2022-09-30,2021,Y,Department of Agriculture,239.4,8.8,230.6,0,230.6,2022,2022
2022-09-30,2021,Y,Department of Transportation,102.9,1,101.9,0,101.9,2022,2022
2022-09-30,2021,Y,Department of Homeland Security,101,12.9,88.1,1.6,89.7,2022,2022
2022-09-30,2021,Y,Security Assistance Accounts,92.9,14.4,78.5,0,78.5,2022,2022
2022-09-30,2021,Y,Small Business Administration,350.5,3.1,347.4,0,347.4,2022,2022
2022-09-30,2021,Y,Department of Labor,396.8,0,396.8,0,396.8,2022,2022
2022-09-30,2021,Y,Department of Justice,41.4,2.6,38.8,0,38.8,2022,2022
2022-09-30,2021,Y,Department of State,40.2,3.5,36.7,1.9,38.6,2022,2022
2022-09-30,2021,Y,Agency for International Development,16,0,16,0,16,2022,2022
2022-09-30,2021,Y,Department of Energy,43.2,6.2,37,0,37,2022,2022
2022-09-30,2021,Y,Department of Housing and Urban Development,35.3,1.9,33.4,0,33.4,2022,2022
2022-09-30,2021,Y,Department of the Interior,23.8,2.3,21.5,0,21.5,2022,2022
2022-09-30,2021,Y,National Aeronautics and Space Administration,22.1,0.3,21.8,0,21.8,2022,2022
2022-09-30,2021,Y,Federal Communications Commission,11.7,0.4,11.3,0,11.3,2022,2022
2022-09-30,2021,Y,Department of Commerce,15.5,3.6,11.9,0.1,12,2022,2022
2022-09-30,2021,Y,Environmental Protection Agency,8.9,0.4,8.5,0,8.5,2022,2022
2022-09-30,2021,Y,National Science Foundation,7.4,0,7.4,0,7.4,2022,2022
2022-09-30,2021,Y,Railroad Retirement Board,17.3,0,17.3,0,17.3,2022,2022
2022-09-30,2021,Y,National Railroad Retirement Investment Trust,0.1,6.6,-6.5,0,-6.5,2022,2022
2022-09-30,2021,Y,United States Postal Service,77.9,75.7,2.2,0,2.2,2022,2022
2022-09-30,2021,Y,Smithsonian Institution,1.5,0.8,0.7,0,0.7,2022,2022
2022-09-30,2021,Y,Millennium Challenge Corporation,0.7,0,0.7,0,0.7,2022,2022
2022-09-30,2021,Y,Securities and Exchange Commission,2.4,2.5,-0.1,0,-0.1,2022,2022
2022-09-30,2021,Y,National Credit Union Administration,0.2,0.1,0.1,0,0.1,2022,2022
2022-09-30,2021,Y,U.S. Nuclear Regulatory Commission,0.9,0.7,0.2,0,0.2,2022,2022
2022-09-30,2021,Y,United States International Development Finance Corporation,0,0.2,-0.2,0,-0.2,2022,2022
2022-09-30,2021,Y,Export-Import Bank of the United States,0.5,0.7,-0.2,0,-0.2,2022,2022
2022-09-30,2021,Y,General Services Administration,-0.1,0.9,-1,0,-1,2022,2022
2022-09-30,2021,Y,Farm Credit System Insurance Corporation,0,0.4,-0.4,0,-0.4,2022,2022
2022-09-30,2021,Y,Tennessee Valley Authority,8.8,10.4,-1.6,0,-1.6,2022,2022
2022-09-30,2021,Y,Federal Deposit Insurance Corporation,1.7,7.1,-5.4,0,-5.4,2022,2022
2022-09-30,2021,Y,Pension Benefit Guaranty Corporation,-56.5,22.6,-79.1,0,-79.1,2022,2022
2022-09-30,2021,Y,All other entities,24.9,1.8,23.1,0.1,23.2,2022,2022
2022-09-30,2021,Y,Total,7406.6,574.2,6832.4,518.4,7350.8,2022,2022
2021-09-30,2021,N,Department of Health and Human Services,1644.9,137.7,1507.2,0.7,1507.9,2021,2021
2021-09-30,2021,N,Social Security Administration,1194.1,0.3,1193.8,0,1193.8,2021,2021
2021-09-30,2021,N,Department of Defense,851.8,44,807.8,82.8,890.6,2021,2021
2021-09-30,2021,N,Department of the Treasury,854.6,23.8,830.8,0,830.8,2021,2021
2021-09-30,2021,N,Department of Veterans Affairs,351,3.9,347.1,346.3,693.4,2021,2021
2021-09-30,2021,N,Department of Labor,396.8,0,396.8,0,396.8,2021,2021
2021-09-30,2021,N,Interest on Treasury Securities Held by the Public,392,0,392,0,392,2021,2021
2021-09-30,2021,N,Small Business Administration,350.5,3.1,347.4,0,347.4,2021,2021
2021-09-30,2021,N,Department of Agriculture,239.4,8.8,230.6,0,230.6,2021,2021
2021-09-30,2021,N,Department of Education,243,34.4,208.6,0,208.6,2021,2021
2021-09-30,2021,N,Office of Personnel Management,134,26.3,107.7,84.9,192.6,2021,2021
2021-09-30,2021,N,Department of Transportation,102.9,1,101.9,0,101.9,2021,2021
2021-09-30,2021,N,Department of Homeland Security,101,12.9,88.1,1.6,89.7,2021,2021
2021-09-30,2021,N,Security Assistance Accounts,92.9,14.4,78.5,0,78.5,2021,2021
2021-09-30,2021,N,Department of Justice,41.4,2.6,38.8,0,38.8,2021,2021
2021-09-30,2021,N,Department of State,40.2,3.5,36.7,1.9,38.6,2021,2021
2021-09-30,2021,N,Department of Energy,43.2,6.2,37,0,37,2021,2021
2021-09-30,2021,N,Department of Housing and Urban Development,35.3,1.9,33.4,0,33.4,2021,2021
2021-09-30,2021,N,National Aeronautics and Space Administration,22.1,0.3,21.8,0,21.8,2021,2021
2021-09-30,2021,N,Department of the Interior,23.8,2.3,21.5,0,21.5,2021,2021
2021-09-30,2021,N,Railroad Retirement Board,17.3,0,17.3,0,17.3,2021,2021
2021-09-30,2021,N,U.S. Agency for International Development,16,0,16,0,16,2021,2021
2021-09-30,2021,N,Department of Commerce,15.5,3.6,11.9,0.1,12,2021,2021
2021-09-30,2021,N,Federal Communications Commission,11.7,0.4,11.3,0,11.3,2021,2021
2021-09-30,2021,N,Environmental Protection Agency,8.9,0.4,8.5,0,8.5,2021,2021
2021-09-30,2021,N,National Science Foundation,7.4,0,7.4,0,7.4,2021,2021
2021-09-30,2021,N,U.S. Postal Service,77.9,75.7,2.2,0,2.2,2021,2021
2021-09-30,2021,N,Smithsonian Institution,1.5,0.8,0.7,0,0.7,2021,2021
2021-09-30,2021,N,Millennium Challenge Corporation,0.7,0,0.7,0,0.7,2021,2021
2021-09-30,2021,N,U.S. Nuclear Regulatory Commission,0.9,0.7,0.2,0,0.2,2021,2021
2021-09-30,2021,N,National Credit Union Administration,0.2,0.1,0.1,0,0.1,2021,2021
2021-09-30,2021,N,Securities and Exchange Commission,2.4,2.5,-0.1,0,-0.1,2021,2021
2021-09-30,2021,N,Export-Import Bank of the U.S.,0.5,0.7,-0.2,0,-0.2,2021,2021
2021-09-30,2021,N,U.S. International Development Finance Corporation,0,0.2,-0.2,0,-0.2,2021,2021
2021-09-30,2021,N,Farm Credit System Insurance Corporation,0,0.4,-0.4,0,-0.4,2021,2021
2021-09-30,2021,N,General Services Administration,-0.1,0.9,-1,0,-1,2021,2021
2021-09-30,2021,N,Tennessee Valley Authority,8.8,10.4,-1.6,0,-1.6,2021,2021
2021-09-30,2021,N,Federal Deposit Insurance Corporation,1.7,7.1,-5.4,0,-5.4,2021,2021
2021-09-30,2021,N,National Railroad Retirement Investment Trust,0.1,6.6,-6.5,0,-6.5,2021,2021
2021-09-30,2021,N,Pension Benefit Guaranty Corporation,-56.5,22.6,-79.1,0,-79.1,2021,2021
2021-09-30,2021,N,All other entities,24.9,1.8,23.1,0.1,23.2,2021,2021
2021-09-30,2021,N,Total,7294.7,462.3,6832.4,518.4,7350.8,2021,2021
2021-09-30,2020,Y,Department of Health and Human Services,1537,130,1407,0.1,1407.1,2021,2021
2021-09-30,2020,Y,Social Security Administration,1157.6,0.3,1157.3,0,1157.3,2021,2021
2021-09-30,2020,Y,Department of Defense,803,39.8,763.2,-17.4,745.8,2021,2021
2021-09-30,2020,Y,Department of the Treasury,581.3,20.6,560.7,0,560.7,2021,2021
2021-09-30,2020,Y,Department of Veterans Affairs,386.5,4,382.5,602.7,985.2,2021,2021
2021-09-30,2020,Y,Department of Labor,493.2,0,493.2,0,493.2,2021,2021
2021-09-30,2020,Y,Interest on Treasury Securities Held by the Public,371.1,0,371.1,0,371.1,2021,2021
2021-09-30,2020,Y,Small Business Administration,562.1,3.1,559,0,559,2021,2021
2021-09-30,2020,Y,Department of Agriculture,198,10.1,187.9,0,187.9,2021,2021
2021-09-30,2020,Y,Department of Education,190.2,33.3,156.9,0,156.9,2021,2021
2021-09-30,2020,Y,Office of Personnel Management,97.3,25.2,72.1,89.9,162,2021,2021
2021-09-30,2020,Y,Department of Transportation,108.8,1.1,107.7,0,107.7,2021,2021
2021-09-30,2020,Y,Department of Homeland Security,122.3,11.8,110.5,3.1,113.6,2021,2021
2021-09-30,2020,Y,Security Assistance Accounts,154.8,42.8,112,0,112,2021,2021
2021-09-30,2020,Y,Department of Justice,39.1,1.8,37.3,0,37.3,2021,2021
2021-09-30,2020,Y,Department of State,34.6,2.8,31.8,1.1,32.9,2021,2021
2021-09-30,2020,Y,Department of Energy,60.9,5.4,55.5,0,55.5,2021,2021
2021-09-30,2020,Y,Department of Housing and Urban Development,36.3,2.2,34.1,0,34.1,2021,2021
2021-09-30,2020,Y,National Aeronautics and Space Administration,22.3,0.2,22.1,0,22.1,2021,2021
2021-09-30,2020,Y,Department of the Interior,23,2.4,20.6,0,20.6,2021,2021
2021-09-30,2020,Y,Railroad Retirement Board,13.1,0,13.1,0,13.1,2021,2021
2021-09-30,2020,Y,U.S. Agency for International Development,13.8,0,13.8,0,13.8,2021,2021
2021-09-30,2020,Y,Department of Commerce,19.4,3.9,15.5,0,15.5,2021,2021
2021-09-30,2020,Y,Federal Communications Commission,13.9,0.4,13.5,0,13.5,2021,2021
2021-09-30,2020,Y,Environmental Protection Agency,9.1,0.4,8.7,0,8.7,2021,2021
2021-09-30,2020,Y,National Science Foundation,7.3,0,7.3,0,7.3,2021,2021
2021-09-30,2020,Y,U.S. Postal Service,79.2,71.7,7.5,0,7.5,2021,2021
2021-09-30,2020,Y,Smithsonian Institution,1.5,0.5,1,0,1,2021,2021
2021-09-30,2020,Y,Millennium Challenge Corporation,0.6,0,0.6,0,0.6,2021,2021
2021-09-30,2020,Y,U.S. Nuclear Regulatory Commission,0.9,0.7,0.2,0,0.2,2021,2021
2021-09-30,2020,Y,National Credit Union Administration,0.3,0.2,0.1,0,0.1,2021,2021
2021-09-30,2020,Y,Securities and Exchange Commission,2.2,3.3,-1.1,0,-1.1,2021,2021
2021-09-30,2020,Y,Export-Import Bank of the U.S.,0.8,0.4,0.4,0,0.4,2021,2021
2021-09-30,2020,Y,U.S. International Development Finance Corporation,0,0.1,-0.1,0,-0.1,2021,2021
2021-09-30,2020,Y,Farm Credit System Insurance Corporation,0.1,0.2,-0.1,0,-0.1,2021,2021
2021-09-30,2020,Y,General Services Administration,0.3,0.8,-0.5,0,-0.5,2021,2021
2021-09-30,2020,Y,Tennessee Valley Authority,8.8,10.1,-1.3,0,-1.3,2021,2021
2021-09-30,2020,Y,Federal Deposit Insurance Corporation,1.7,6.5,-4.8,0,-4.8,2021,2021
2021-09-30,2020,Y,National Railroad Retirement Investment Trust,0.1,1.8,-1.7,0,-1.7,2021,2021
2021-09-30,2020,Y,Pension Benefit Guaranty Corporation,19.2,22,-2.8,0,-2.8,2021,2021
2021-09-30,2020,Y,All other entities,23.4,1.7,21.7,0,21.7,2021,2021
2021-09-30,2020,Y,Total,7195.1,461.6,6733.5,679.5,7413,2021,2021
2020-09-30,2020,N,Department of Health and Human Services,1537,130,1407,0.1,1407.1,2020,2020
2020-09-30,2020,N,Social Security Administration,1157.6,0.3,1157.3,0,1157.3,2020,2020
2020-09-30,2020,N,Department of Veterans Affairs,386.3,4,382.3,602.7,985,2020,2020
2020-09-30,2020,N,Department of Defense,802.2,39.8,762.4,-17.4,745,2020,2020
2020-09-30,2020,N,Department of the Treasury,581.3,20.6,560.7,0,560.7,2020,2020
2020-09-30,2020,N,Small Business Administration,562.1,3.1,559,0,559,2020,2020
2020-09-30,2020,N,Department of Labor,493.2,0,493.2,0,493.2,2020,2020
2020-09-30,2020,N,Interest on Treasury Securities Held by the Public,371.1,0,371.1,0,371.1,2020,2020
2020-09-30,2020,N,Department of Agriculture,198,10.1,187.9,0,187.9,2020,2020
2020-09-30,2020,N,Office of Personnel Management,97.3,25.2,72.1,89.9,162,2020,2020
2020-09-30,2020,N,Department of Education,190.2,33.3,156.9,0,156.9,2020,2020
2020-09-30,2020,N,Department of Homeland Security,122.3,11.8,110.5,3.1,113.6,2020,2020
2020-09-30,2020,N,Security Assistance Accounts,154.8,42.8,112,0,112,2020,2020
2020-09-30,2020,N,Department of Transportation,108.8,1.1,107.7,0,107.7,2020,2020
2020-09-30,2020,N,Department of Energy,60.9,5.4,55.5,0,55.5,2020,2020
2020-09-30,2020,N,Department of Justice,39.1,1.8,37.3,0,37.3,2020,2020
2020-09-30,2020,N,Department of Housing and Urban Development,36.3,2.2,34.1,0,34.1,2020,2020
2020-09-30,2020,N,Department of State,34.6,2.8,31.8,1.1,32.9,2020,2020
2020-09-30,2020,N,National Aeronautics and Space Administration,22.3,0.2,22.1,0,22.1,2020,2020
2020-09-30,2020,N,Department of the Interior,23,2.4,20.6,0,20.6,2020,2020
2020-09-30,2020,N,Department of Commerce,19.4,3.9,15.5,0,15.5,2020,2020
2020-09-30,2020,N,U.S. Agency for International Development,13.8,0,13.8,0,13.8,2020,2020
2020-09-30,2020,N,Federal Communications Commission,13.9,0.4,13.5,0,13.5,2020,2020
2020-09-30,2020,N,Railroad Retirement Board,13.1,0,13.1,0,13.1,2020,2020
2020-09-30,2020,N,Environmental Protection Agency,9.1,0.4,8.7,0,8.7,2020,2020
2020-09-30,2020,N,U.S. Postal Service,79.2,71.7,7.5,0,7.5,2020,2020
2020-09-30,2020,N,National Science Foundation,7.3,0,7.3,0,7.3,2020,2020
2020-09-30,2020,N,Smithsonian Institution,1.5,0.5,1,0,1,2020,2020
2020-09-30,2020,N,Millennium Challenge Corporation,0.6,0,0.6,0,0.6,2020,2020
2020-09-30,2020,N,Export-Import Bank of the U.S.,0.8,0.4,0.4,0,0.4,2020,2020
2020-09-30,2020,N,U.S. Nuclear Regulatory Commission,0.9,0.7,0.2,0,0.2,2020,2020
2020-09-30,2020,N,National Credit Union Administration,0.3,0.2,0.1,0,0.1,2020,2020
2020-09-30,2020,N,U.S. International Development Finance Corporation,0,0.1,-0.1,0,-0.1,2020,2020
2020-09-30,2020,N,Farm Credit System Insurance Corporation,0.1,0.2,-0.1,0,-0.1,2020,2020
2020-09-30,2020,N,General Services Administration,0.3,0.8,-0.5,0,-0.5,2020,2020
2020-09-30,2020,N,Securities and Exchange Commission,2.2,3.3,-1.1,0,-1.1,2020,2020
2020-09-30,2020,N,Tennessee Valley Authority,8.8,10.1,-1.3,0,-1.3,2020,2020
2020-09-30,2020,N,National Railroad Retirement Investment Trust,0.1,1.8,-1.7,0,-1.7,2020,2020
2020-09-30,2020,N,Pension Benefit Guaranty Corporation,19.2,22,-2.8,0,-2.8,2020,2020
2020-09-30,2020,N,Federal Deposit Insurance Corporation,1.7,6.5,-4.8,0,-4.8,2020,2020
2020-09-30,2020,N,All other entities,23.4,1.7,21.7,0,21.7,2020,2020
2020-09-30,2020,N,Total,7194.1,461.6,6732.5,679.5,7412,2020,2020
2020-09-30,2019,Y,Department of Health and Human Services,1341.4,119.1,1222.3,0,1222.3,2020,2020
2020-09-30,2019,Y,Social Security Administration,1101.2,0.3,1100.9,0,1100.9,2020,2020
2020-09-30,2019,Y,Department of Veterans Affairs,364.7,5.1,359.6,58,417.6,2020,2020
2020-09-30,2019,Y,Department of Defense,813.6,44.2,769.4,139,908.4,2020,2020
2020-09-30,2019,Y,Department of the Treasury,181,25.3,155.7,0,155.7,2020,2020
2020-09-30,2019,Y,Small Business Administration,0.3,0.4,-0.1,0,-0.1,2020,2020
2020-09-30,2019,Y,Department of Labor,40.5,0,40.5,0,40.5,2020,2020
2020-09-30,2019,Y,Interest on Treasury Securities Held by the Public,403.6,0,403.6,0,403.6,2020,2020
2020-09-30,2019,Y,Department of Agriculture,149.1,8.3,140.8,0,140.8,2020,2020
2020-09-30,2019,Y,Office of Personnel Management,118.5,24.1,94.4,0.3,94.7,2020,2020
2020-09-30,2019,Y,Department of Education,153.9,31.9,122,0,122,2020,2020
2020-09-30,2019,Y,Department of Homeland Security,77,14,63,0.9,63.9,2020,2020
2020-09-30,2019,Y,Security Assistance Accounts,38.6,0,38.6,0,38.6,2020,2020
2020-09-30,2019,Y,Department of Transportation,82.2,1.1,81.1,0,81.1,2020,2020
2020-09-30,2019,Y,Department of Energy,59.3,5.7,53.6,0,53.6,2020,2020
2020-09-30,2019,Y,Department of Justice,40.8,3.5,37.3,0,37.3,2020,2020
2020-09-30,2019,Y,Department of Housing and Urban Development,29.6,1.8,27.8,0,27.8,2020,2020
2020-09-30,2019,Y,Department of State,33.9,4.6,29.3,0.7,30,2020,2020
2020-09-30,2019,Y,National Aeronautics and Space Administration,21,0.2,20.8,0,20.8,2020,2020
2020-09-30,2019,Y,Department of the Interior,21.1,2.6,18.5,0,18.5,2020,2020
2020-09-30,2019,Y,Department of Commerce,13.8,3.6,10.2,0,10.2,2020,2020
2020-09-30,2019,Y,U.S. Agency for International Development,12.2,0.1,12.1,0,12.1,2020,2020
2020-09-30,2019,Y,Federal Communications Commission,11.2,0.4,10.8,0,10.8,2020,2020
2020-09-30,2019,Y,Railroad Retirement Board,12.1,0,12.1,0,12.1,2020,2020
2020-09-30,2019,Y,Environmental Protection Agency,8.8,0.3,8.5,0,8.5,2020,2020
2020-09-30,2019,Y,U.S. Postal Service,77.5,70.2,7.3,0,7.3,2020,2020
2020-09-30,2019,Y,National Science Foundation,7.3,0,7.3,0,7.3,2020,2020
2020-09-30,2019,Y,Smithsonian Institution,1.5,0.4,1.1,0,1.1,2020,2020
2020-09-30,2019,Y,Millennium Challenge Corporation,0.5,0,0.5,0,0.5,2020,2020
2020-09-30,2019,Y,Export-Import Bank of the U.S.,-0.1,0.5,-0.6,0,-0.6,2020,2020
2020-09-30,2019,Y,U.S. Nuclear Regulatory Commission,0.8,0.7,0.1,0,0.1,2020,2020
2020-09-30,2019,Y,National Credit Union Administration,0.4,0.2,0.2,0,0.2,2020,2020
2020-09-30,2019,Y,Overseas Private Investment Corporation,-0.2,0.1,-0.3,0,-0.3,2020,2020
2020-09-30,2019,Y,Farm Credit System Insurance Corporation,0.1,0.2,-0.1,0,-0.1,2020,2020
2020-09-30,2019,Y,General Services Administration,0.1,0.8,-0.7,0,-0.7,2020,2020
2020-09-30,2019,Y,Securities and Exchange Commission,1.8,2.1,-0.3,0,-0.3,2020,2020
2020-09-30,2019,Y,Tennessee Valley Authority,9.9,11.3,-1.4,0,-1.4,2020,2020
2020-09-30,2019,Y,National Railroad Retirement Investment Trust,0.1,0.7,-0.6,0,-0.6,2020,2020
2020-09-30,2019,Y,Pension Benefit Guaranty Corporation,35.7,27.8,7.9,0,7.9,2020,2020
2020-09-30,2019,Y,Federal Deposit Insurance Corporation,0.4,5,-4.6,0,-4.6,2020,2020
2020-09-30,2019,Y,All other entities,22,1.8,20.2,0,20.2,2020,2020
2020-09-30,2019,Y,Total,5287.2,418.4,4868.8,198.9,5067.7,2020,2020
2019-09-30,2019,N,Department of Health and Human Services,1341.4,119.1,1222.3,null,1222.3,2019,2019
2019-09-30,2019,N,Social Security Administration,1101.2,0.3,1100.9,null,1100.9,2019,2019
2019-09-30,2019,N,Department of Defense,813.6,44.2,769.4,139,908.4,2019,2019
2019-09-30,2019,N,Department of Veterans Affairs,364.7,5.1,359.6,58,417.6,2019,2019
2019-09-30,2019,N,Interest on Treasury Securities Held by the Public,403.6,null,403.6,null,403.6,2019,2019
2019-09-30,2019,N,Department of the Treasury,181,25.3,155.7,null,155.7,2019,2019
2019-09-30,2019,N,Department of Agriculture,149.1,8.3,140.8,null,140.8,2019,2019
2019-09-30,2019,N,Department of Education,153.9,31.9,122,null,122,2019,2019
2019-09-30,2019,N,Office of Personnel Management,118.5,24.1,94.4,0.3,94.7,2019,2019
2019-09-30,2019,N,Department of Transportation,82.2,1.1,81.1,null,81.1,2019,2019
2019-09-30,2019,N,Department of Homeland Security,77,14,63,0.9,63.9,2019,2019
2019-09-30,2019,N,Department of Energy,59.3,5.7,53.6,null,53.6,2019,2019
2019-09-30,2019,N,Department of Labor,40.5,null,40.5,null,40.5,2019,2019
2019-09-30,2019,N,Security Assistance Accounts,38.6,null,38.6,null,38.6,2019,2019
2019-09-30,2019,N,Department of Justice,40.8,3.5,37.3,null,37.3,2019,2019
2019-09-30,2019,N,Department of State,33.9,4.6,29.3,0.7,30,2019,2019
2019-09-30,2019,N,Department of Housing and Urban Development,29.6,1.8,27.8,null,27.8,2019,2019
2019-09-30,2019,N,National Aeronautics and Space Administration,21,0.2,20.8,null,20.8,2019,2019
2019-09-30,2019,N,Department of the Interior,21.1,2.6,18.5,null,18.5,2019,2019
2019-09-30,2019,N,U.S. Agency for International Development,12.2,0.1,12.1,null,12.1,2019,2019
2019-09-30,2019,N,Railroad Retirement Board,12.1,null,12.1,null,12.1,2019,2019
2019-09-30,2019,N,Federal Communications Commission,11.2,0.4,10.8,null,10.8,2019,2019
2019-09-30,2019,N,Department of Commerce,13.8,3.6,10.2,null,10.2,2019,2019
2019-09-30,2019,N,Environmental Protection Agency,8.8,0.3,8.5,null,8.5,2019,2019
2019-09-30,2019,N,Pension Benefit Guaranty Corporation,35.7,27.8,7.9,null,7.9,2019,2019
2019-09-30,2019,N,National Science Foundation,7.3,null,7.3,null,7.3,2019,2019
2019-09-30,2019,N,U.S. Postal Service,77.5,70.2,7.3,null,7.3,2019,2019
2019-09-30,2019,N,Smithsonian Institution,1.5,0.4,1.1,null,1.1,2019,2019
2019-09-30,2019,N,Millennium Challenge Corporation,0.5,null,0.5,null,0.5,2019,2019
2019-09-30,2019,N,National Credit Union Administration,0.4,0.2,0.2,null,0.2,2019,2019
2019-09-30,2019,N,U.S. Nuclear Regulatory Commission,0.8,0.7,0.1,null,0.1,2019,2019
2019-09-30,2019,N,Farm Credit System Insurance Corporation,0.1,0.2,-0.1,null,-0.1,2019,2019
2019-09-30,2019,N,Small Business Administration,0.3,0.4,-0.1,null,-0.1,2019,2019
2019-09-30,2019,N,Overseas Private Investment Corporation,-0.2,0.1,-0.3,null,-0.3,2019,2019
2019-09-30,2019,N,Securities and Exchange Commission,1.8,2.1,-0.3,null,-0.3,2019,2019
2019-09-30,2019,N,National Railroad Retirement Investment Trust,0.1,0.7,-0.6,null,-0.6,2019,2019
2019-09-30,2019,N,Export-Import Bank of the U.S.,-0.1,0.5,-0.6,null,-0.6,2019,2019
2019-09-30,2019,N,General Services Administration,0.1,0.8,-0.7,null,-0.7,2019,2019
2019-09-30,2019,N,Tennessee Valley Authority,9.9,11.3,-1.4,null,-1.4,2019,2019
2019-09-30,2019,N,Federal Deposit Insurance Corporation,0.4,5,-4.6,null,-4.6,2019,2019
2019-09-30,2019,N,All other entities,22,1.8,20.2,null,20.2,2019,2019
2019-09-30,2019,N,Total,5287.2,418.4,4868.8,198.9,5067.7,2019,2019
